Date,Total Playing Members,Left Playing Members,Playing to Social,Non-Playing to Playing
2023-10-01,1,13,18,4
2023-10-02,1,17,19,4
2023-10-06,2,19,20,4
2023-10-09,3,22,21,4
2023-10-11,3,23,22,4
2023-10-13,3,23,22,4
2023-10-16,3,32,22,5
2023-10-17,3,33,22,5
2023-10-19,3,33,22,5
2023-10-24,3,45,22,5
2023-10-25,3,45,22,5
2023-10-26,3,45,22,5
2023-10-27,3,45,22,6
2023-10-29,3,45,22,6
2023-10-31,3,46,22,6
2023-11-01,3,46,22,6
2023-11-08,3,46,22,6
2023-11-10,3,47,22,6
2023-11-13,3,47,22,6
2023-11-17,3,47,22,6
2023-12-04,3,47,22,6
2023-12-18,3,48,22,6
2024-01-09,3,48,22,6
2024-01-10,3,49,22,6
2024-01-11,3,49,22,7
2024-01-16,4,49,22,7
2024-01-17,4,49,22,7
2024-01-18,4,49,22,7
2024-01-23,4,49,22,7
2024-01-25,4,49,22,7
2024-02-13,4,49,22,7
2024-02-19,4,49,23,7
2024-02-20,4,50,23,7
2024-02-23,4,50,23,8
2024-02-26,4,50,23,8
2024-02-27,12,50,23,8
2024-02-29,12,50,23,8
2024-03-11,12,50,23,9
2024-03-13,12,50,23,9
2024-03-18,12,50,23,10
2024-03-23,13,50,23,10
2024-04-01,38,50,23,11
2024-04-06,38,52,23,11
2024-04-08,38,53,23,11
2024-04-10,43,53,23,11
2024-04-11,43,53,23,11
2024-04-18,48,53,23,11
2024-04-19,48,55,23,11
2024-04-24,48,55,23,12
2024-04-30,48,55,24,12
2024-05-02,49,56,25,12
2024-05-08,50,56,25,12
2024-05-16,51,56,25,12
2024-05-30,51,56,27,12
2024-06-05,51,57,27,12
2024-06-06,51,57,28,12
2024-06-18,51,58,28,12
2024-06-20,51,58,28,13
2024-06-25,51,58,28,14
2024-06-30,52,59,28,14
2024-07-01,52,69,30,14
2024-07-02,52,71,30,14
2024-07-05,52,71,30,15
2024-07-11,56,71,31,15
2024-07-12,56,72,34,15
2024-07-15,56,72,34,15
2024-07-16,56,73,34,15
2024-07-18,56,73,34,15
2024-07-23,56,73,34,15
2024-07-29,56,73,34,16
2024-07-30,56,73,35,16
2024-07-31,56,74,35,16
2024-08-01,56,75,35,16
2024-08-13,56,75,35,16
2024-08-14,57,75,36,16
2024-09-02,58,75,36,16
2024-09-09,58,75,36,16
2024-09-25,58,76,36,16
2024-09-26,58,77,36,16
2024-09-30,61,79,36,16
2024-10-01,61,79,36,16
2024-10-02,61,79,36,16
2024-10-03,61,79,36,16
2024-10-07,61,79,36,16
2024-10-11,62,79,36,16
2024-10-18,62,79,36,16
2024-11-12,63,81,36,16
2024-11-15,63,81,36,16
2024-11-20,63,81,36,16
2024-12-06,64,81,36,16
2024-12-09,64,81,36,16
2025-01-08,66,81,36,16
2025-01-09,66,81,36,16
2025-01-13,66,81,36,16
